Number;Group;Repetition;Original_Filepath
1;A;1;15-42-57
2;A;2;15-16-41
3;A;3;15-18-58
4;A;4;15-20-01
5;A;5;15-21-10
6;A;6;15-22-13
7;B;1;15-38-29
8;B;2;15-39-31
9;B;3;15-40-27
10;B;4;15-41-22
11;B;5;15-42-20
12;B;6;15-43-34
13;C;1;16-03-48
14;C;2;16-04-47
15;C;3;16-05-36
16;C;4;16-06-26
17;C;5;16-07-16
18;C;6;16-08-06
19;D;1;16-13-42
20;D;2;16-14-41
21;D;3;16-15-41
22;D;4;16-16-37
23;D;5;16-17-55
24;D;6;16-18-51
25;E;1;16-19-39
26;E;2;16-22-13
27;E;3;16-23-15
28;E;4;16-24-23
29;E;5;16-34-07
30;E;6;16-35-39
